"District","County Number","County Name"," License Type Code"," License Number","Business (DBA-Does Business As) Name","Location Address","Location City"," Location Zip Code","Inspection Number","Visit Number","Inspection Class","Inspection Type","Inspection Disposition","Inspection Date","Number of Critical Violations","Number of Noncritical Violations"," Number of Total Violations","Number of High Priority Violations","Number of Intermediate Violations","Number of Basic Violations","PDA Status","Violation 01","Violation 02","Violation 03","Violation 04","Violation 05","Violation 06","Violation 07","Violation 08","Violation 09","Violation 10","Violation 11","Violation 12","Violation 13","Violation 14","Violation 15","Violation 16","Violation 17","Violation 18","Violation 19","Violation 20","Violation 21","Violation 22","Violation 23","Violation 24","Violation 25","Violation 26","Violation 27","Violation 28","Violation 29","Violation 30","Violation 31","Violation 32","Violation 33","Violation 34","Violation 35","Violation 36","Violation 37","Violation 38","Violation 39","Violation 40","Violation 41","Violation 42","Violation 43","Violation 44","Violation 45","Violation 46","Violation 47","Violation 48","Violation 49","Violation 50","Violation 51","Violation 52","Violation 53","Violation 54","Violation 55","Violation 56","Violation 57","Violation 58","License ID","Inspection Visit ID"
"D3","19","Citrus","2010","1901417","SWEET ALPS ICE CREAM INVERNESS","202 TOMPKINS ST","INVERNESS","34450","3732115","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","3","0","0","3","Y","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9193695","13770608"
"D3","19","Citrus","2010","1901431","CHILI'S RESTAURANT","800 W MAIN STREET","INVERNESS","34450","3738148","1","Food","Routine - Food","Inspection Completed - No Further Action","07/22/2026","","","5","1","0","4","Y","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8227572","13776641"
"D3","19","Citrus","2010","1901438","TACO BELL #7420","9357 S SUNCOAST BLVD","HOMOSASSA","34446","3711433","1","Food","Routine - Food","Inspection Completed - No Further Action","07/16/2026","","","1","0","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8311559","13749926"
"D3","19","Citrus","2010","1901474","BEANS AND GREENS COFFEE HOUSE","1927 NW US HWY 19","CRYSTAL RIVER","34428","3732032","1","Food","Routine - Food","Inspection Completed - No Further Action","07/20/2026","","","1","0","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9021071","13770525"
"D3","19","Citrus","2010","1901480","PANERA BREAD 6285","2080 N LECANTO HWY","LECANTO","34461","3700945","1","Food","Complaint Full","Inspection Completed - No Further Action","07/08/2026","","","3","0","0","3","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9273292","13721462"
"D3","19","Citrus","2010","1901499","TEQUILA GARDEN FLAVORS OF MEXICO","2875 E GULF TO LAKE HWY","INVERNESS","34453","3756272","1","Food","Complaint Full","Inspection Completed - No Further Action","07/27/2026","","","7","3","2","2","Y","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9834635","13845995"
"D3","19","Citrus","2014","1950324","MACRAE'S OF HOMOSASSA","5300 S CHEROKEE WAY","HOMOSASSA","34448","1337478","1","Food","Routine - Food","Inspection Completed - No Further Action","07/22/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6958170","13729020"
"D3","19","Citrus","2014","1950396","WAVES COASTAL KITCHEN LLC","3995 N TURKEY OAK DR","CRYSTAL RIVER","34428","1335510","1","Food","Routine - Food","Inspection Completed - No Further Action","07/23/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8995021","13727051"
"D3","37","Hernando","2010","3700285","MCDONALD'S 6682","2350  COMMERCIAL WAY","SPRING HILL","34606","3761496","1","Food","Complaint Full","Warning Issued","07/30/2026","","","2","1","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6732693","13860513"
"D3","37","Hernando","2010","3700285","MCDONALD'S 6682","2350  COMMERCIAL WAY","SPRING HILL","34606","3761496","2","Food","Complaint Full","Call Back - Complied","07/31/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6732693","13865134"
