License Number,Business (DBA-Does Business As) Name,Location Address,Location City,Location Zip Code,Inspection Number,Inspection Type,Inspection Disposition,Inspection Date,Number of Total Violations,Number of High Priority Violations,Number of Intermediate Violations,Number of Basic Violations,high_risk_violation_count,distinct_violation_categories,failed,Violation 01,Violation 02,Violation 03,Violation 04,Violation 05,Violation 06,Violation 07,Violation 08,Violation 09,Violation 10,Violation 11,Violation 12,Violation 13,Violation 14,Violation 15,Violation 16,Violation 17,Violation 18,Violation 19,Violation 20,Violation 21,Violation 22,Violation 23,Violation 24,Violation 25,Violation 26,Violation 27,Violation 28,Violation 29,Violation 30,Violation 31,Violation 32,Violation 33,Violation 34,Violation 35,Violation 36,Violation 37,Violation 38,Violation 39,Violation 40,Violation 41,Violation 42,Violation 43,Violation 44,Violation 45,Violation 46,Violation 47,Violation 48,Violation 49,Violation 50,Violation 51,Violation 52,Violation 53,Violation 54,Violation 55,Violation 56,Violation 57,Violation 58
6218770,THE VIOLET STONE,2607 9 ST N,ST PETERSBURG,33704,3761972,Complaint Full,Warning Issued,2026-07-30,21,4,5,12,11,15,1,0,1,1,0,0,0,0,2,0,3,0,2,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6218550,FORTU,97 CENTRAL AVE,ST PETERSBURG,33701,3755625,Complaint Full,Inspection Completed - No Further Action,2026-07-30,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6215614,DERUSSO'S PIZZERIA,9385 BAY PINES BLVD STE A,ST. PETERSBURG,33708,3751188,Routine - Food,Inspection Completed - No Further Action,2026-07-31,4,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6217995,MY HAPPY PLACE,16811 GULF BLVD,NORTH REDINGTON BEAC,33708,3748852,Routine - Food,Inspection Completed - No Further Action,2026-07-31,4,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218592,COOL COOKIE,25 CAUSEWAY BLVD UNIT 108,INDIAN SHORES,33767,3725452,Routine - Food,Inspection Completed - No Further Action,2026-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6216893,ENGINE NO.9,56 DR MLK JR BLVD,ST. PETERSBURG,33705-1557,3715133,Routine - Food,Administrative complaint recommended,2026-07-31,32,3,8,21,12,21,1,1,3,2,0,0,0,0,1,0,2,0,1,0,1,0,4,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
6218690,PAGODA,1550 66 ST N,ST. PETERSBURG,33710,3712725,Routine - Food,Inspection Completed - No Further Action,2026-07-31,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217966,STARBUCKS COFFEE COMPANY,309 CORONADO DR,CLEARWATER,33767,3724994,Routine - Food,Warning Issued,2026-07-31,4,1,3,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217347,CORNER KITCHEN AND COFFEE HOUSE,13999 GULF BLVD UNIT C2,MADEIRA BEACH,33708,3752255,Routine - Food,Inspection Completed - No Further Action,2026-07-31,9,1,3,5,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6217751,DUNKIN DONUTS,7595 4 ST N,ST PETERSBURG,33702,3748399,Routine - Food,Inspection Completed - No Further Action,2026-07-31,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200528,FRIENDLY TAVERN,18121 GULF BLVD,REDINGTON SHORES,33708,3733243,Routine - Food,Inspection Completed - No Further Action,2026-07-31,13,1,1,11,6,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218276,KHAO NEOW SUSHI THAI LAO,17307 GULF BLVD STE B101,NORTH REDINGTON BEAC,33708,3745840,Routine - Food,Inspection Completed - No Further Action,2026-07-31,10,1,2,7,5,8,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
